nameOfAuthor,listOfAuthors,studentPublication,title,typeOfPublication,nameOfPublicationPlatform,scopus,wos,publicationDetails,year,month,academicYear,url,doi,identificationNumber,indexing,noOfCitations,abstract,keywords,specialization,status,link,dateOfPublication,Unnamed: 23,Unnamed: 24,Unnamed: 25
Gunupudi Rajesh Kumar,"BM Bai, N Mangathayaru, BP Rani, S Aljawarneh",,Mathura (MBI)-A novel imputation measure for imputation of missing values in medical datasets,Journal,Recent Advances in Computer Science and Communications (Formerly: Recent Patents on Computer Science),No,No,"Volume 14,Issue 5,Bentham Science Publishers",2021.0,July,2020-21,https://scholar.google.co.in/citations?view_op=view_citation&hl=en&user=djgiAekAAAAJ&citation_for_view=djgiAekAAAAJ:mB3voiENLucC,https://doi.org/10.2174/2666255813666191216123352,,Ingenta Connect,13.0,"Aims: Propose an imputation measure for filling missing data values so as to make the incomplete medical datasets as complete datasets. Apply this imputation measure on imputed datasets to achieve improved classifier accuracies.Objective: The basic intention of the present study is to present an imputation measure to find the proximity between medical records and an approach for imputation of missing values in medical datasets to improve the accuracy of existing classifiers.Methods: The performance of proposed approach is compared to existing approaches with respect to classifier accuracy and also by performing non-parametric test called Wilcoxon test.Results & Conclusion: Experiments are conducted by considering three benchmark datasets CLEVALAND, PIMA, ECOLI and by applying proposed imputation technique with KNN, J48 and SMO classifiers and classifier accuracies are determined. The results obtained are then compared to thirteen existing benchmark imputation techniques available in KEEL repository. Experiment results proved the importance of the proposed imputation technique.", Imputation; RBFN; accuracy; classification; cross fold validation; missing value,,,,2021-07-01,,,
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Narsimha Gugulothu, Mangathayaru Nimmala",,An Evolutionary Feature Clustering Approach for Anomaly Detection Using Improved Fuzzy Membership Function: Feature Clustering Approach for Anomaly Detection,Journal,International Journal of Information Technology and Web Engineering (IJITWE),Yes,Yes,Volume 14 Issue 4,2019.0,October,2019-20,https://www.igi-global.com/article/an-evolutionary-feature-clustering-approach-for-anomaly-detection-using-improved-fuzzy-membership-function/234749,DOI: 10.4018/IJITWE.2019100102,ISSN: 1554-1045,igi-global,0.0,"Traditionally, IDS have been developed by applying machine learning techniques and followed single learning mechanisms or multiple learning mechanisms. Dimensionality is an important concern which affects classification accuracies and eventually the classifier performance. Feature selection approaches are widely studied and applied in research literature. In this work, a new fuzzy membership function to detect anomalies and intrusions and a method for dimensionality reduction is proposed. CANN could not address R2L and U2R attacks and have completely failed by showing these attack accuracies almost zero. Following CANN, the CLAPP approach has shown better classifier accuracies when compared to classifiers kNN, and SVM. This research aims at improving the accuracy achieved by CLAPP, CANN, and kNN. Experimental results show accuracies obtained using proposed approach is better when compared to other existing approaches. In particular, the detection of U2R and R2L attacks to user accuracies are recorded to be very much promising.","ids, machine learning, dimensionality, feature selection, fuzzy membership function, anomalies, intrusions, cann, r2l attacks, u2r attacks, clapp, knn, svm, experimental results, accuracy",,,GRK-JPUB-001,2019-10-01,,,
Gunupudi Rajesh Kumar,"G Rajesh Kumar, N Mangathayaru, G Narasimha",,Similarity function for intrusion detection,Conference,ICEMIS'19: The 5th International Conference on Engineering & MIS 2019 Astana Kazakhstan,Yes,Yes,"Article No.: 28 Pages 14,",2019.0,June,2019-20,https://dl.acm.org/doi/abs/10.1145/3330431.3330460,https://doi.org/10.1145/3330431.3330460,ISBN: 978-1-4503-7212-1,ACM,12.0,"Similarity measure plays a vital role in classification, clustering and several other techniques related to data mining and machine learning. Detection of intrusions requires comparison of one instance of training input to another instance of testing input. Many times when classifiers are applied on datasets the input instances which occur relatively lesser are not classified by classifier properly. This paper suggests a similarity measure to compare an incoming instance with training instance to identify the relative similarity between them.","similarity measure, classification, clustering, data mining, machine learning, detection of intrusions, training input, testing input, classifiers, datasets, incoming instance, training instance, relative similarity",,,GRK-CPUB-002,2019-06-06,,,
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha, Aravind Cheruvu",,Feature clustering for anomaly detection using improved fuzzy membership function,Conference,ICEMIS '18: International Conference on Engineering & MIS 2018 Istanbul Turkey,Yes,Yes,"Article No.: 35, Pages 19, Publisher: Association for Computing Machinery, New York, United States",2018.0,June,2017-18,https://dl.acm.org/doi/abs/10.1145/3234698.3234733,https://doi.org/10.1145/3234698.3234733,ISBN: 978-1-4503-7212-1,ACM,31.0,"Earlier research focus towards anomaly detection has been towards using classifiers such as kNN, SVM and using existing distance measures to perform classification. Traditionally IDSs (Intrusion detection systems) have been developed by applying machine learning techniques and adopted single learning mechanism. This is later extended by developing Intrusion Detection Systems by adopting multiple learning mechanisms. Such systems have addressed better detection rates compared to single learning Intrusion Detection Systems. Dimensionality is one more serious concern which affects the performance of classification algorithms. Approaches such as ""Feature selection"" have been studied and adopted which selects a subset features from the feature set. However, the feature extraction approach for dimensionality reduction has proved to be better compared to feature selection and achieved better classification and detection rates. In this research, we address ""Feature extraction"" using ""Evolutionary feature clustering"" by proposing a ""Novel fuzzy membership function"" which addresses Dimensionality Reduction (DR). The idea is to transform the initial connection representation so that its equivalent representation has reduced noise affect and achieves better classification or detection rates. Experimental results on KDD datasets with 19 and 41 attributes, prove that the proposed approach has improved detection rates for R2L and U2R attack classes when compared to CANN, CLAPP, and SVM approaches. CANN approach recorded lower detection rates w.r.t U2R and R2L attacks. This failure is addressed in our earlier studies through proposing, CLAPP which proved comparatively better accuracy rates to CANN. The fuzzy membership function proposed in this paper, recorded better classification and detection rates in experiments conducted","anomaly detection, classifiers, knn, svm, distance measures, idss, machine learning techniques, multiple learning mechanisms, dimensionality, feature selection, feature extraction, evolutionary feature clustering, fuzzy membership function, dimensionality reduction, experimental results",,,GRK-CPUB-003,2018-06-19,,,
Gunupudi Rajesh Kumar,"Rajesh Kumar Gunupudi, Mangathayaru Nimmala, Narsimha Gugulothu, Suresh Reddy Gali",,CLAPP: A self constructing feature clustering approach for anomaly detection,Journal,Future Generation Computer Systems,Yes,Yes,"Volume 74, Pages 417-429, Publisher Elsevier, North-Holland",2017.0,September,2017-18,https://www.sciencedirect.com/science/article/abs/pii/S0167739X16308718,https://doi.org/10.1016/j.future.2016.12.040,ISSN 0167-739X,sciencedirect,61.0,"The term internet of things is a buzz word these days and as per Google survey conducted recently, it has even dominated the buzz word big data predominantly. However, IoT area is still not matured and is throwing light on lot of research issues towards the data mining researchers. Security in IoT throws several challenges because of limited resources. In this context, IoT gains importance once again from data miners towards anomaly mining or intrusion detection. Intrusion detection is classified as NP-class in the literature even today. Algorithms addressing privacy and security issues in IoT must consider the complexities involved and hence require re-attention from all researchers. One more problem faced when judging for intrusion is the use of high dimensionality, classifier choice, and distance measure. For example, the traditional distance measure, such as Euclidean misjudges the similarity. In this paper, the objective is to design a fuzzy membership function to address both dimensionality and anomaly mining so as reduce the computational complexity and increase computational accuracies of classifier algorithms. We validate the proposed measure using several experimentations on NSL-KDD and DARPA datasets using kNN, J48 and CANN using Gaussian measure. Improved accuracies of classifiers on U2R and R2L attacks have been recorded in the experimental results obtained for experiments conducted.","internet of things, data mining, security, anomaly mining, intrusion detection, np-class, algorithms, privacy, complexity, dimensionality, fuzzy membership function, computational complexity, classifier algorithms, experimentations, u2r and r2l attacks",,,GRK-JPUB-004,2017-05-26,,,
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha, Gali Suresh Reddy",,Evolutionary approach for intrusion detection,Conference,2017 International Conference on Engineering & MIS (ICEMIS),Yes,Yes,"2017 International Conference on Engineering & MIS (ICEMIS), Monastir, Tunisia, Publisher IEEE",2017.0,May,2016-17,https://ieeexplore.ieee.org/abstract/document/8273116,DOI: 10.1109/ICEMIS.2017.8273116,ISSN: 2575-1328,IEEE Xplore,12.0,"In this work, we design and propose an improved fuzzy membership function to detect anomalies and intrusions. The objective of the present approach is to achieve an optimal transformation matrix which can improve classifier accuracies. The transformation matrix is aimed at mapping the original process onto a new fuzzy space, so that the resultant representation is free from noise data and facilitates to improve the overall accuracy and also individual class accuracies. Experimental results show that accuracies obtained using our approach is better compared to other approaches. In particular U2R and R2L accuracies are recorded to be very much promising. This research shows an approach which addresses the improvement in overall accuracy and also improvement in detecting R2L and U2R attack accuracies. In future, we plan to extend this work by applying new measures for dimensionality reduction and classification for improving U2R and R2L attack classification accuracies.","Intrusion detection,Dimensionality reduction,Frequency measurement,Feature extraction,Classification algorithms,Protocols,Knowledge based systems",,,GRK-CPUB-005,2017-05-08,,,
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha",,A FEATURE CLUSTERING BASED DIMENSIONALITY REDUCTION FOR INTRUSION DETECTION (FCBDR).,Journal,IADIS International Journal on Computer Science & Information Systems,Yes,Yes,"Volume 12, Issue 1, Pages 26-44",2017.0,January,2016-17,http://oaji.net/articles/2019/3083-1576243681.pdf,,ISSN: 1646-3692,oaji,0.0,"This work discusses the approach for intrusion detection and classification by devising a membership function, inspired from Yung, Jung, & Shie-Jue (2014) and used in this work to carry the dimensionality reduction of processes present in the training set in evolutionary approach. The reduced process representation may then be used to perform classification and prediction for detecting intrusion. It is seen that the reduced representation of processes retains the system call distribution of the initial process. Experiment results show the proposed approach is better compared to existing approaches and helps in effective identification of U2R and R2L attacks.","Classifier, Malicious, Intrusion, System Call, Fuzzy Feature",,,GRK-JPUB-006,2017-01-01,,,
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha",,Design of novel fuzzy distribution function for dimensionality reduction and intrusion detection,Conference,2016 International Conference on Engineering & MIS (ICEMIS),Yes,Yes,"Pages 1-6, Publisher IEEE",2016.0,September,2016-17,https://ieeexplore.ieee.org/abstract/document/7745346,DOI: 10.1109/ICEMIS.2016.7745346,ISBN:978-1-5090-5580-7,IEEE Xplore,26.0,Reducing the processing complexity is main challenge when dealing with intrusion detection systems. The processing complexity is reduced and efficiency is increased if we can reduce the number of dimensions so that only the minimum number of dimensions is retained. This work mainly targets on achieving dimensional reduction for intrusion detection using a novel membership function. The membership function is used to cluster the features in iterative incremental manner and obtains a reduced dimensional representation which retains the original distribution of process data. A case study is discussed to explore working of proposed model.,"computational complexity,security of data",,,GRK-CPUB-007,2016-09-22,,,
Gunupudi Rajesh Kumar,"Nimmala Mangathayaru, Gunupudi Rajesh Kumar, Gugulothu Narsimha",,Text mining based approach for intrusion detection,Conference,2016 International Conference on Engineering & MIS (ICEMIS),Yes,Yes,"Pages 1-5, Publisher IEEE, 2016",2016.0,September,2016-17,https://ieeexplore.ieee.org/abstract/document/7745351,DOI: 10.1109/ICEMIS.2016.7745351,ISBN:978-1-5090-5580-7,IEEE Xplore,20.0,"Intrusion detection is classified as NP-Hard in the literature even today. Also supervised learning also termed classification, when performed on high dimensional documents has problem from the noise or outliers, which make the text classification inaccurate and leads to reduced accuracy by classifiers. We discuss the feature reduction methods which we adopted to achieve dimensionality reduction. In the Feature Extraction process, the high dimensional text documents are projected onto their corresponding low dimensional representation in feature space through using algebraic rules and transformations. The objective is to find optimal transformation matrix corresponding the input high dimensional document feature matrix. This objective is achieved in this thesis by using the concept of feature clustering and through clustering the features into a optimal set of clusters by designing a novel fuzzy membership function. The membership function designed retains the original distribution of words in the documents which is the importance of this approach.","computational complexity,data mining,data reduction,feature extraction,fuzzy set theory,learning (artificial intelligence),
matrix algebra,pattern classification,pattern clustering,
security of data,text analysis",,,GRK-CPUB-009,2016-09-22,,,
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha",,A novel similarity measure for intrusion detection using gaussian function,Journal,REVISTA TECNICA DE LA FACULTAD DE INGENIERIA UNIVERSIDAD DEL ZULIA,Yes,Yes,"Volume. 39, No. 2, pages 173-183",2016.0,December,2016-17,https://arxiv.org/ftp/arxiv/papers/1604/1604.07510.pdf,https://arxiv.org/ftp/arxiv/papers/1604/1604.07510.pdf,ISSN: 0254-0770,arxiv,0.0,"In this paper the major objective is to design and analyze the suitability of Gaussian similarity measure for intrusion detection. The objective is to use this as a distance measure to find the distance between any two data samples of training set such as DARPA Data Set, KDD Data Set. This major objective is to use this measure as a distance metric when applying k- means algorithm. The novelty of this approach is making use of the proposed distance function as part of k-means algorithm so as to obtain disjoint clusters. This is followed by a case study, which demonstrates the process of Intrusion Detection. The proposed similarity has fixed upper and lower bounds. The proposed similarity measure satisfies all properties of a typical similarity measure."," Intrusion Detection, Similarity Function, k-Means, Gaussian, Text Processing",,,GRK-JPUB-010,2016-12-01,,,
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha",,An approach for intrusion detection using novel gaussian based kernel function.,Journal,Journal of Universal Computer Science,Yes,Yes,"Volume 22, Issue 4, Pages 589-604, PUBLISHER, Technische Universitat Graz from Austria",2016.0,April,2016-17,http://www.jucs.org/jucs_22_4/an_approach_for_intrusion/jucs_22_04_0589_0604_kumar.pdf,DOI: 10.3217/jucs-022-04,"ISSN: 0948-695X,",jucs,0.0,"Software Security and Intrusion Detection need to be dealt at three levels Network, Host level and Application level. In this paper the major objective is to design and analyze the suitability of Gaussian similarity measure for intrusion detection. The objective is to use this as a distance measure to find the distance between any two data samples of training set such as DARPA Data Set, KDD Data Set. This major objective is to use this measure as a distance metric when applying k-means algorithm. The novelty of this approach is making use of the proposed distance function as part of k-means algorithm so as to obtain disjoint clusters. This is followed by a case study, which demonstrates the process of Intrusion Detection. The proposed similarity has fixed upper and lower bounds.","Intrusion Detection, Similarity Function, k-Means, Gaussian, Text Processing, Software Vulnerabilities",,,GRK-JPUB-011,2016-04-01,,,
Gunupudi Rajesh Kumar,"Gunupudi RajeshKumar, Nimmala Mangathayaru, Gugulothu Narsimha",,Intrusion detection a text mining based approach,Journal,International Journal of Computer Science and Information Security (IJCSIS),Yes,Yes,"Special issue on Computing Applications and Data Mining, Vol. 14 S1",2016.0,February,2016-17,https://arxiv.org/ftp/arxiv/papers/1603/1603.03837.pdf,https://arxiv.org/ftp/arxiv/papers/1603/1603.03837.pdf,ISSN 1947 5500,arxiv,0.0,"Intrusion Detection is one of major threats for organization. The approach of intrusion detection using text processing has been one of research interests which is gaining significant importance from researchers. In text mining based approach for intrusion detection, system calls serve as source for mining and predicting possibility of intrusion or attack. When an application runs, there might be several system calls which are initiated in the background. These system calls form the strong basis and the deciding factor for intrusion detection. In this paper, we mainly discuss the approach for intrusion detection by designing a distance measure which is designed by taking into consideration the conventional Gaussian function and modified to suit the need for similarity function. A Framework for intrusion detection is also discussed as part of this research.","system calls, intrusion, prediction, classification, kernel measures",,,GRK-JPUB-012,2016-02-01,,,
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, N Mangathayaru, G Narasimha",,An improved k-Means Clustering algorithm for Intrusion Detection using Gaussian function,Conference,Proceedings of the The International Conference on Engineering & MIS 2015,Yes,Yes,"Pages 1-7, Istanbul Turkey, Publisher: Association for Computing Machinery, New York, United States",2015.0,September,2015-16,https://dl.acm.org/doi/abs/10.1145/2832987.2833082,https://doi.org/10.1145/2832987.2833082,ISBN: 978-1-4503-7212-1,ACM,37.0,"In this paper the major objective is to design and analyze the suitability of Gaussian similarity measure for intrusion detection. The objective is to use this as a distance measure to find the distance between any two data samples of training set such as DARPA Data Set, KDD Data Set. This major objective is to use this measure as a distance metric when applying k-means algorithm. The novelty of this approach is making use of the proposed distance function as part of k-means algorithm so as to obtain disjoint clusters. This is followed by a case study, which demonstrates the process of Intrusion Detection. The proposed similarity has fixed upper and lower bounds.","paper, gaussian similarity measure, intrusion detection, distance measure, training set, darpa data set, kdd data set, distance metric, k-means algorithm, novelty, proposed distance function, disjoint clusters, case study, process, upper and lower bounds",,,GRK-CPUB-013,2015-09-24,,,
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, N Mangathayaru, G Narasimha",,Intrusion detection using text processing techniques: a recent survey,Conference,Proceedings of the The International Conference on Engineering & MIS 2015,Yes,Yes,"Pages 1-6, Istanbul Turkey, Publisher: Association for Computing Machinery, New York, United States",2015.0,September,2015-16,https://dl.acm.org/doi/abs/10.1145/2832987.2833067,https://doi.org/10.1145/2832987.2833067,ISBN: 978-1-4503-7212-1,ACM,20.0,"Intrusion Detection is one of the major threats for any organization of any size. The approach of intrusion detection using text processing has been one of the research interests among researchers working in the area of the network and information security. In this approach for intrusion detection, the system calls serve as the source for mining and predicting any chance of intrusion. When an application runs, there might be several system calls which are initiated in the background. These system calls form the basis and the deciding factor for intrusion detection. We perform an extensive survey on Intrusion detection using text mining techniques and validate the suitability of various kernel measures published in the literature. We finally come out with the research directions for intrusion detection which have not been discussed in detail in the literature. We hope this survey will be useful for researchers working in the direction of intrusion detection using text mining techniques.","intrusion detection, text processing, research, network security, information security, system calls, mining, predicting, application, background, survey, text mining techniques, kernel measures, research directions, literature",,,GRK-CPUB-014,2015-09-24,,,
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, N Mangathayaru, G Narasimha",,An approach for intrusion detection using text mining techniques,Conference,Proceedings of the The International Conference on Engineering & MIS 2015,Yes,Yes,"Pages 1-6, Istanbul Turkey, Publisher: Association for Computing Machinery, New York, United States",2015.0,September,2015-16,https://dl.acm.org/doi/abs/10.1145/2832987.2833076,https://doi.org/10.1145/2832987.2833076,ISBN: 978-1-4503-7212-1,ACM,30.0,"The problem of clustering is NP-Complete. The existing clustering algorithm in literature is the approximate algorithms, which cluster the underlying data differently for different datasets. The K-Means Clustering algorithm is suitable for frequency but not for binary form. When an application runs several system calls are implicitly invoked in the background. Based on these system calls we can predict the normal or abnormal behavior of applications. This can be done by classification. In this paper we tried to perform classification of processes running into normal and abnormal states by using system call behavior. We reduce the system call feature vector by choosing k-means algorithm which uses the proposed measure for dimensionality reduction. We give the design of the proposed measure. The proposed measure has upper and lower bounds which are finite.","clustering, np-complete, algorithms, k-means clustering, frequency, binary form, system calls, abnormal behavior, classification, processes, dimensionality reduction, feature vector, upper bounds, lower bounds, finite",,,GRK-CPUB-015,2015-09-24,,,
Gunupudi Rajesh Kumar,"Arun Nagaraja, Rajesh Kumar Gunupudi, R Saravana Kumar, Nimmala Mangathayaru",,Optimization of Access Points in Wireless Sensor Network: An Approach towards Security,Book Chapter,Computer Science On-line Conference 2015,Yes,Yes,"Advances in Intelligent Systems and Computing, vol 348. Pages 299-306, Springer, Cham.",2015.0,April,2014-15,https://link.springer.com/chapter/10.1007/978-3-319-18503-3_29,https://doi.org/10.1007/978-3-319-18503-3_29,ISBN978-3-319-18503-3,SpringerLink,7.0,"Wireless Sensor Networks has lot to do with the technology. With several problems existing, the use of Access Points in a secured way will provide the long lasting connectivity throughout the covered area. The connectivity and the security process are discussed using two different algorithms in this paper. The connectivity to the end user is established with the help of encryption and decryption process of keys. The two algorithms are Optimization algorithm and Craving algorithm. By using these two algorithms, the connectivity is extended outside the range of signals with sensor nodes.","Optimization,Access Point,Wireless Sensor Network,Craving Algorithm",,,GRK-PUB-016,2015-04-01,,,
Gunupudi Rajesh Kumar,"Shadi A. Aljawarneh, V. RadhaKrishna, G. Rajesh Kumar",,A fuzzy measure for intrusion and anomaly detection,Conference,"International Conference on Engineering & MIS (ICEMIS), 2017 Monastir, Tunisia, Tunisia",Yes,Yes,Pages 6,2018.0,February,2017-18,https://ieeexplore.ieee.org/abstract/document/8273113/,DOI: 10.1109/ICEMIS.2017.8273113,ISBN: 978-1-5090-6778-7,IEEE Xplore,19.0,"Finding intrusion and anomalies in networks is a problem of wide research interest both from academia and software industry. This work has three contributions. The first contribution is a dissimilarity measure for intrusion detection. The dissimilarity measure is also applied to achieve evolutionary clustering and dimensionality reduction of system calls. Earlier works in evolutionary clustering used basic Gaussian membership function to incrementally cluster by randomly assuming the initial deviation. This work aims at achieving evolutionary clustering by defining the expression to choose, initial deviation by eliminating the need to assume the standard deviation. Finally classification may also be performed using the proposed dissimilarity measure.","Intrusion detection,Dimensionality reduction,Training,Clustering algorithms,Testing,Classification algorithms,Standards",,,GRK-CPUB-017,2017-05-08,,,
Gunupudi Rajesh Kumar,"Shadi Aljawarneh, Vangipuram Radhakrishna, Gunupudi Rajesh Kumar",,An imputation measure for data imputation and disease classification of medical datasets,Conference,AIP Conference Proceedings,Yes,Yes,"AIP Conference Proceedings, Volume 2146, Issue, 1, Pages 020001",2019.0,August,2019-20,https://aip.scitation.org/doi/abs/10.1063/1.5123688,https://doi.org/10.1063/1.5123688,ISBN: 978-0-7354-1891-2,aip,0.0,"Imputation of missing data values is an important pre-processing task for mining of medical data records. Application of data mining principles, techniques requires the dataset to be free from missing data values. In this paper, there are two contributions. One is the imputation measure for finding nearest optimal record for imputation and another is the algorithm for imputing missing data values. The proposed imputation function is extended by using our previous research in which a similarity measure for temporal pattern mining named as ASTRA is proposed. The measure ASTRA is modified suitably to serve as an imputation measure.",,,,GRK-CPUB-018,2019-08-19,,,
Gunupudi Rajesh Kumar,"Shadi Aljawarneh, Vangipuram Radhakrishna, Gunupudi Rajesh Kumar",,A recent survey on challenges in security and privacy in internet of things,Conference,ICEMIS '19: Proceedings of the 5th International Conference on Engineering and MIS,Yes,Yes,Article No.: 25 Pages 19,2019.0,June,2018-19,https://dl.acm.org/doi/abs/10.1145/3330431.3330457,https://doi.org/10.1145/3330431.3330457,ISBN: 978-1-4503-7212-1,ACM,19.0,"Computing environment in IoT (Internet of Things) is surrounded with huge amounts of heterogeneous data fulfilling many services in everyone's daily life. Since, communication process in IoT takes place using different devices such as smart phones, sensors, mobile devices, household devices, embedded equipment etc. With the use of these variety of devices, the exchange of data in open internet environment is prone to vulnerabilities. The main cause for these vulnerabilities is the weaknesses in the design of software components and hardware components. Bridging communications gaps in the IoT is a complex process as the data is from heterogeneous sources. An effort is made in this paper to discuss various challenges that are being faced in security and privacy of data. This will be very much helpful for researchers who want to pursue research.","computing environment, iot (internet of things), heterogeneous data, communication process, smart phones, sensors, mobile devices, household devices, embedded equipment, vulnerabilities, software components, hardware components, bridging communications gaps, security, privacy of data",,,GRK-CPUB-020,2019-06-06,,,
Gunupudi Rajesh Kumar,"Vangipuram Radhakrishna, Gunupudi Rajesh Kumar, Shadi Aljawarneh",,Optimising business intelligence results through strategic application of software process model,Journal,International Journal of Intelligent Enterprise,Yes,Yes,"Volume 4, Issue 1-2, Pages 128-142, Publisher Inderscience Publishers (IEL)",2017.0,October,2017-18,https://www.inderscienceonline.com/doi/abs/10.1504/IJIE.2017.087013,https://doi.org/10.1504/IJIE.2017.087013,ISSN: 1745-3232,inderscienceonline,0.0,"According to Gartner, 60% of organisations are still unable to make fruitful decisions due to various factors like, data quality issues, lack of careful consideration of components involved, skill shortage. In this paper, we consider the software process, which is one of the key factors and show how a software process model may be applied to business intelligence (BI) process by defining the entire BI process as a two stage software component process model which internally involves other components. For this purpose, we have defined two software process component models for the entire BI process. We also emphasise all key considerations that need to be followed to achieve successful BI results. We throw light on how the sequential iteration phase can be applied at each component level. This model serves as a prototype for the future BI projects which can benefit organisations and top decision makers in making quality decisions.","software process model, component, business intelligence",,,GRK-JPUB-022,2017-10-06,,,
Gunupudi Rajesh Kumar,"Radhakrishna Vangipuram, Rajesh Kumar Gunupudi, Veereswara Kumar Puligadda, Janaki Vinjamuri",,A machine learning approach for imputation and anomaly detection in IoT environment,Journal,Expert Systems,Yes,Yes,"Volume 37, Issue 5, Pages e12556",2020.0,October,2020-21,https://onlinelibrary.wiley.com/doi/abs/10.1111/exsy.12556,https://doi.org/10.1111/exsy.12556,ISSN:1468-0394,onlinelibrary.wiley,26.0,"The problem of anomaly and attack detection in IoT environment is one of the prime challenges in the domain of internet of things that requires an immediate concern. For example, anomalies and attacks in IoT environment such as scan, malicious operation, denial of service, spying, data type probing, wrong setup, malicious control can lead to failure of an IoT system. Datasets generated in an IoT environment usually have missing values. The presence of missing values makes the classifier unsuitable for classification task. This article introduces (a) a novel imputation technique for imputation of missing data values (b) a classifier which is based on feature transformation to perform classification (c) imputation measure for similarity computation between any two instances that can also be used as similarity measure. The performance of proposed classifier is studied by using imputed datasets obtained through applying Kmeans, F-Kmeans and proposed imputation methods. Experiments are also conducted by applying existing and proposed classifiers on the imputed dataset obtained using proposed imputation technique. For experimental study in this article, we have used an open source dataset named distributed smart space orchestration system publicly available from Kaggle. Experiment results obtained are also validated using Wilcoxon non-parametric statistical test. It is proved that the performance of proposed approach is better when compared to existing classifiers when the imputation process is performed using F-Kmeans and K-Means imputation techniques. It is also observed that accuracies for attack classes scan, malicious operation, denial of service, spying, data type probing, wrong setup are 100% while it is 99% for malicious control attack class when the proposed imputation and classification technique are applied.","anomaly detection, attack detection, iot environment, missing values, imputation technique, classifier, feature transformation, similarity measure, kmeans, f-kmeans, imputed datasets, experimental study, open source dataset, performance, statistical test",,,GRK-JPUB-023,2020-04-13,,,
Gunupudi Rajesh Kumar,Gunupudi Rajesh Kumar; Nimmala Mangathayaru; Gugulothu Narsimha,,An approach for intrusion detection using fuzzy feature clustering,conference,2016 International Conference on Engineering & MIS (ICEMIS),Yes,Yes,November,2016.0,November,2016-17,https://ieeexplore.ieee.org/abstract/document/7745345,DOI: 10.1109/ICEMIS.2016.7745345,ISBN:978-1-5090-5580-7,IEEE Xplore,22.0,"This work discusses the approach for intrusion detection and classification by devising a membership function, inspired from [43] and is used in this work to carry the dimensionality reduction of processes present in the training set. The reduced process representation is then used to perform classification and prediction for detecting intrusion. The reduced representation of processes retains the system call distribution same as the initial process representation.","fuzzy set theory,pattern classification,pattern clustering,security of data",,,GRK-CPUB-028,2016-09-22,,,
Gunupudi Rajesh Kumar,"Arun Nagaraja, Uma Boregowda, Vangipuram Radhakrishna, Gunupudi Rajesh Kumar",,Design of Gaussian Similarity Measure for Network Anomaly Detection,conference,"DATA'21: International Conference on Data Science, E-learning and Information Systems 2021April 2021",Yes,Yes,"6/4/2021, Pages 225230",2021.0,June,2020-21,https://dl.acm.org/doi/abs/10.1145/3460620.3460759,https://doi.org/10.1145/3460620.3460759,ISBN: 978-1-4503-8838-2,ACM,2.0,"Identifying intrusion in networks is one of the important concerns in computer networks. The task of dimensionality reduction and choice of classifier plays an important role in network intrusion detection. Dimensionality reduction should make sure that the efficacy of classifier on reduced dimensionality data is atleast retained if not improved. In this paper, we suggest a similarity function which can be used to find similarity between any two network elements expressed as vectors. The similarity measure is designed to make sure that the attribute distribution is taken into account for finding similarity value.",,,,GRK-CPUB-021,2021-06-04,,,
