S.No,Name of the author,List of Authors,Student Publication (Yes/No),Title,Type of Publication,Name of Conf/Journal/BC/TB/PT,SCOPUS Yes/No,WoS Yes/No,Publication Details,Year,Month,A.Y,URL,DoI,ISSN/ISBN,Indexing,Citations,Abstract,Keywords,Specialization,Status (Active/Inactive),,LINK,,,,,,,,
217,Dr G Madhu,"G. Madhu1, B. Lalith Bharadwaj1, Rohit Boddeda2, Sai Vardhan1, K. Sandeep Kautish3, Khalid Alnowibet4, Adel F. Alrasheedi4, Ali Wagdy Mohamed5,6","B. Lalith Bharadwaj, Rohit Boddeda, Sai Vardhan",Deep Stacked Ensemble Learning Model for COVID-19 Classification,Journal,"CMC-Computers, Materials & Continua",Yes,Yes,"vol.70(3), 5467–5469.",2021,Oct,2020-21,https://www.techscience.com/cmc/v70n3/44964,doi:10.32604/cmc.2022.020455,,,0,,,,,,,,,,,,,,
218,Dr G Madhu,Dr G Madhu,,A Diagnostic Model for Malaria Parasite Detection from Thin Blood Smear Images using Neural Networks,Journal,J. Innovation Sciences and Sustainable Technologies,NO,no,"Volume 1, Issue 1, Pages 39-52",2021,March,2020-21,https://jisst.com/article?item_id=2021001004,,,,,,,,,,,,,,,,,,
219,Dr G Madhu,"G Madhu, A Govardhan, B Sunil Srinivas, Kshira Sagar Sahoo, NZ Jhanjhi, KS Vardhan, B Rohit",,Imperative Dynamic Routing Between Capsules Network for Malaria Classification,Journal,CMC-COMPUTERS MATERIALS & CONTINUA,Yes,yes,"Volume 68, Issue 1, Pages 903-919, Publisher TECH SCIENCE PRESS",2021,January,2020-21,https://www.techscience.com/cmc/v68n1/41842,doi:10.32604/cmc.2021.016114,ISSN: 1546-2218,,,,,,,,,,,,,,,,
220,Dr G Madhu,"A.Govardhan, B.Sunil Srinivas, Shilhora Akshay Patel, B.Rohit, B.Lalith Bharadwaj",,Capsule Networks for Malaria Parasite Classification: An Application Oriented Model,Conference,2020 IEEE International Conference for Innovation in Technology (INOCON),Yes,yes,"IEEE International Conference for Innovation in Technology (INOCON), Bangalore India, Pages 1-5, Publisher IEEE",2020,November,2020-21,https://ieeexplore.ieee.org/abstract/document/9298425,DOI: 10.1109/INOCON50539.2020.9298425,978-1-7281-9744-9,,,,,,,,,,,,,,,,
221,Dr G Madhu,"G. Madhu, B.Lalith Bharadtwaj, K.Sai Vardhan, G.Naga Chandrika",,A Normalized Mean Algorithm for Imputation of Missing Data Values in Medical Databases,Conference,8th International Conference on Innovations in Electronics & Communication Engineering (ICIECE- 2019),Yes,no,"Volume 107, Pages 773-781, Publisher Springer Nature Singapore Pte Ltd 2020",2019,August,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-3172-9_72,https://doi.org/10.1007/978-981-15-3172-9_72,ISBN 978-981-15-3171-2,,1,,,,,,,,,,,,,,
222,Dr G Madhu,Golla Madhu,,Computer Vision and Machine Learning Approach for Malaria Diagnosis in Thin Blood Smears from Microscopic Blood Images,Book Chapter,Machine Learning for Intelligent Decision Science,Yes,no,Copyright Details: Springer Nature Singapore Pte Ltd. 2020,2020,April,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-3689-2_8,https://doi.org/10.1007/978-981-15-3689-2_8,978-981-15-3689-2,,,,,,,,,,,,,,,,
223,Dr G Madhu,"G. Madhu, B.Lalith Bharadwaj, G.Nagachandrika, K.Sai Vardhan",,A Novel Algorithm for Missing Data Imputation on Machine Learning,Conference,Second International Conference on Smart Systems and Inventive Technology (ICSSIT 2019),yes,no,"Pages 173-177, Publisher IEEE",2019,November,2019-20,https://ieeexplore.ieee.org/abstract/document/8987895/,DOI: 10.1109/ICSSIT46314.2019.8987895,ISBN:978-1-7281-2120-8,,3,,,,,,,,,,,,,,
224,Dr G Madhu,Madhu Golla,,A Novel Algorithm for Segmentation of Parasites in Thin Blood Smears From Microscopy Using Type II Fuzzy Sets and Inverse Gaussian Gradient,Journal,International Journal of Computer Vision and Image Processing (IJCVIP),yes,no,"International Journal of Computer Vision and Image Processing (IJCVIP) 9(3), Pages 1-22 Publisher IGI Global",2019,July,2018-19,https://www.igi-global.com/article/a-novel-algorithm-for-segmentation-of-parasites-in-thin-blood-smears-from-microscopy-using-type-ii-fuzzy-sets-and-inverse-gaussian-gradient/233491,DOI: 10.4018/IJCVIP.2019070101,ISSN: 2155-6997,,,,,,,,,,,,,,,,
225,Dr G Madhu,"Madhu Golla, Sudipta Rudra",,A Novel Approach of K-SVD-Based Algorithm for Image Denoising,Book Chapter,Histopathological Image Analysis in Medical Decision Making,no,no,"Pages 154-180, Publisher IGI Global",2019,September,2019-20,https://www.igi-global.com/chapter/a-novel-approach-of-k-svd-based-algorithm-for-image-denoising/212543,DOI: 10.4018/978-1-5225-6316-7.ch007,ISBN13: 9781522563167,,,,,,,,,,,,,,,,
226,Dr G Madhu,Golla Madhu,,Gaussian Membership Function and Type II Fuzzy Sets Based Approach for Edge Enhancement of Malaria Parasites in Microscopic Blood Images,Conference,International Conference on ISMAC in Computational Vision and Bio-Engineering,yes,no,"ISMAC 2018: Proceedings of the International Conference on ISMAC in Computational Vision and Bio-Engineering 2018 (ISMAC-CVB), LNCVB, volume 30",2019,January,2018-19,https://link.springer.com/chapter/10.1007/978-3-030-00665-5_64,https://doi.org/10.1007/978-3-030-00665-5_64,978-3-030-00665-5,,1,,,,,,,,,,,,,,
227,Dr G Madhu,"UshaRani Yelipe, Sammulal Porika, Madhu Golla",,An efficient approach for imputation and classification of medical data values using class-based clustering of medical records,Journal,Computers & Electrical Engineering,yes,yes,"Volume 66, Pages 487-504 Publisher Pergamon",2018,February,2017-18,https://www.sciencedirect.com/science/article/pii/S004579061733639X,https://doi.org/10.1016/j.compeleceng.2017.11.030,0045-7906,,31,,,,,,,,,,,,,,
228,Dr G Madhu,"G Madhu, G Nagachandrika",,A New Paradigm for Development of Data Imputation Approach for Missing Value Estimation,Journal,International Journal of Electrical and Computer Engineering,yes,no,"Vol.6, Issue.6, Pages 3222 - 3228 Publisher IAES Institute of Advanced Engineering and Science",2016,December,2016-17,http://ijece.iaescore.com/index.php/IJECE/article/view/5943,DOI: 10.11591/ijece.v6i6.10632,ISSN: 2088-8708,,6,,,,,,,,,,,,,,
229,Dr G Madhu,Madhu G,,An Algorithm for Clustering and Classification of Medical Datasets Using k-Means and Radial Basis Function Neural Networks,Journal,International Journal of Data Mining And Emerging Technologies,no,no,"Vol.6, Issue.1",2016,January,2015-16,http://www.indianjournals.com/ijor.aspx?target=ijor:ijdmet&type=home,DOI : 10.5958/2249-3220.2016.00002.1,2249-3212,,,,,,,,,,,,,,,,
230,Dr G Madhu,"G.Madhu, T.V. Rajinikanth, A.Govardhan",,A Novel discretization method for numerical attributes with missing datasets: A Machine learning classifier,Conference,International Conference on Data Mining and Warehousing,no,no,"Seventh International Conference on Data Mining and Warehousing (ICDMW-2013), Bangalore, Volume 8 Pages 12",2014,August,2014-15,https://www.semanticscholar.org/paper/A-New-Discretization-Method-for-Continuous-Features-Madhu-Rajinikanth/781f09c367fe6b61467f4614434e4d3ed29d755e,https://www.semanticscholar.org/paper/A-New-Discretization-Method-for-Continuous-Features-Madhu-Rajinikanth/781f09c367fe6b61467f4614434e4d3ed29d755e,ISSN: 1550-4786,,1,,,,,,,,,,,,,,
231,Dr G Madhu,"G.Madhu, T.V.Rajinikanth, A.Govardhan",,Improve the Classifier Accuracy for Continuous Attributes in Biomedical Datasets Using a New Discretization Method,Conference,"2nd International Conference on Information Technology and Quantitative Management, ITQM 2014",yes,yes,"Volume 31, Pages 671-679",2014,January,2013-14,https://www.sciencedirect.com/sdfe/reader/pii/S187705091400492X/pdf,https://doi.org/10.1016/j.procs.2014.05.315,ISSN 1877-0509,,21,,,,,,,,,,,,,,
232,Dr G Madhu,"G Madhu, TV Rajinikanth",,A novel index measure imputation algorithm for missing data values: A machine learning approach,Conference,2012 IEEE International Conference on Computational Intelligence and Computing Research,yes,yes,"Pages 1-7, Publisher IEEE",2012,December,2012-13,https://ieeexplore.ieee.org/abstract/document/6510198,DOI: 10.1109/ICCIC.2012.6510198,978-1-4673-1344-5,,13,,,,,,,,,,,,,,
233,Dr G Madhu,"G Madhu, Dr A Govardhan, Dr TV Rajinikanth",,Intelligent semantic web search engines: a brief survey,Journal,International journal of Web & Semantic Technology (IJWesT),no,no,"Vol.2, No.1",2011,February,40483,http://www.airccse.org/journal/ijwest/papers/0111ijwest03.pdf,DOI: 10.5121/ijwest.2011.2103,ISSN : 0976 - 2280,,109,,,,,,,,,,,,,,
234,Dr G Madhu,"G.Suresh Reddy, Dr. C. Kiranmai",,Hypothetical Description for Intelligent Data Mining,Journal,International Journal on Computer Science and Engineering,no,no,"Vol. 02, No. 07",2010,January,40087,http://www.enggjournals.com/ijcse/doc/IJCSE10-02-07-93.pdf,,ISSN : 0975-3397,,6,,,,,,,,,,,,,,
235,Dr G Madhu,Golla Madhu,,Gaussian Membership Function and Type II Fuzzy Sets Based Approach for Edge Enhancement of Malaria Parasites in Microscopic Blood Images,Book Chapter,ISMAC 2018: Proceedings of the International Conference on ISMAC in Computational Vision and Bio-Engineering 2018 (ISMAC-CVB),yes,no,"LNCVB, volume 30, pp 651-664",2019,January,2018-19,https://link.springer.com/chapter/10.1007/978-3-030-00665-5_64,https://doi.org/10.1007/978-3-030-00665-5_64,ISBN: 978-3-030-00665-5,,,,,,,,,,,,,,,,
236,Dr G Madhu,"Madhu Golla, Sudipta Rudra",,A Novel Approach of K-SVD-Based Algorithm for Image Denoising,Book Chapter,Histopathological Image Analysis in Medical Decision Making,no,no,Pages: 27,2019,September,2019-20,https://www.igi-global.com/chapter/a-novel-approach-of-k-svd-based-algorithm-for-image-denoising/212543,DOI: 10.4018/978-1-5225-6316-7.ch007,ISBN13: 9781522563167,,4,,,,,,,,,,,,,,
237,Dr G Madhu,"Madhu G. G., Rajinikanth T.V., Govardhan A.",,A Novel Discretization Method for Continuous Attributes: A Machine Learning Approach,Journal,International Journal of Data Mining And Emerging Technologies,no,no,"Volume : 4, Issue : 1",2014,April,2013-14,http://www.indianjournals.com/ijor.aspx?target=ijor:ijdmet&volume=4&issue=1&article=005,DOI : 10.5958/2249-3220.2014.00019.6,ISSN : 2249-3220,,,,,,,,,,,,,,,,
238,Dr G Madhu,"G Madhu , T V Rajinikanth , A Govardhan",,A Non-Parametric Discretization Based Imputation Algorithm for Continuous Attributes with Missing Data Values,Journal,International Journal of Information Processing,no,no,Vol.8(1),2014,April,2013-14,https://www.ijipbangalore.org/abstracts_8(1)/p7.pdf,,ISSN : 0973-8215,,10,,,,,,,,,,,,,,
239,Dr G Madhu,"Madhu.G , Rajinikanth.T.V , Govardhan.A",,Feature Selection Algorithm with Discretization and PSO Search Methods for Continuous Attributes,Journal,International Journal of Computer Science and Information Technologies,no,no,Vol. 5 (2),2014,July,2013-14,http://ijcsit.com/docs/Volume%205/vol5issue02/ijcsit2014050298.pdf,,ISSN: 0975â€“9646,,,,,,,,,,,,,,,,
240,Dr G Madhu,G Madhu,,Dynamic Routing Among Capsule Neural Networks for Malaria Parasite Classification: An Empirical Investigation,Journal,J. Innovation Sciences and Sustainable Technologies,No,No,Vol.1. Issue.2,2021,Aug,2021-22,https://jisst.com/article?item_id=2021001012,,,,,,,,,,,,,,,,,,
241,Dr G Madhu,"Golla Madhu, A Govardhan",,Artificial Intelligence Based Diagnostic Model for the Detection of Malaria Parasites from Microscopic Blood Images,Book Chapter,Intelligent Interactive Multimedia Systems for e-Healthcare Applications,Yes,No,pp 215-233,2022,Nov,2021-22,https://link.springer.com/chapter/10.1007/978-981-16-6542-4_12,,,,,,,,,,,,,,,,,,
242,Dr G Madhu,"Lalith Bharadwaj Baru, Sai Vardhan Kanumolu, Akshay Patel Shilhora, G.Madhu","Lalith Bharadwaj Baru, Sai Vardhan Kanumolu, Akshay Patel Shilhora",Improvising the Learning of Neural Networks on Hyperspherical Manifold,Conference,NeurIPS 2021 Workshop LMRL,Yes,Yes,Paper-68,2021,Dec,2021-22,https://www.lmrl.org/papers (https://drive.google.com/file/d/1Y56WOkk1MaaRIy2ADdT5xfg32KDPmfVP/view),,,,,,,,,,,,,,,,,,
243,Dr G Madhu,"G. Madhu, G. Nagachandrika , A. Govardhan, K. Lakshman Srikanth",,Automatic Screening of COVID-19 Based on CT Scan Images Through Extreme Gradient Boosting,Book Chapter,Artificial Intelligence Applications for Health Care,Yes,No,Pages 140-158,2022,Feb,2021-22,https://books.google.co.in/books?id=PNlfEAAAQBAJ&newbks=0&printsec=frontcover&pg=PA139&dq=DOI:+10.1201/9781003241409-8&hl=en&source=newbks_fb&redir_esc=y#v=onepage&q=DOI%3A%2010.1201%2F9781003241409-8&f=false,DOI: 10.1201/9781003241409-8,,,,,,,,,,,,,,,,,
244,Dr G Madhu,Prof V Sree Hari Rao,,Malaria Eradication Strategies Program (MESP): Challenges and Information Technology(IT) Perspectives,Journal,"J. Innovation Sciences and Sustainable Technologies,",No,No,Pages 341-351,2021,Sep,2021-22,https://jisst.com/article?item_id=2021001023,,,,,,,,,,,,,,,,,,
245,Dr G Madhu,"G. Madhu, A. Govardhan, Vinayakumar Ravi, Sandeep Kautish, B. Sunil Srinivas, Tanupriya Chaudhary & Manoj Kumar",No,DSCN-net: a deep Siamese capsule neural network model for automatic diagnosis of malaria parasites detection,Journal,Multimedia Tools and Applications,Yes,Yes,Pages 1-16,2022,March,2021-22,https://link.springer.com/article/10.1007/s11042-022-13008-6,https://doi.org/10.1007/s11042-022-13008-6,issn: 1380-7501,,,,,,,,,,,,,,,,
246,Dr G Madhu,"G. Madhu, S. M. Gajapaka and L. B. B,",,A Simple Attention Block Embedded in Standard CNN for Image Classification,Conference,"2022 International Conference on Applied Artificial Intelligence and Computing (ICAAIC),",,,"2022, pp. 279-284,",2022,June,2021-22,https://ieeexplore.ieee.org/abstract/document/9793110/authors#authors,10.1109/ICAAIC53929.2022.9793110.,,,,,,,,,,,,,,,,,
247,Dr G Madhu,"Deepak Sukheja, Javaid Ahmad Shah, G. Madhu, K. Sandeep Kautish, Fahad A. Alghamdi, Ibrahim. S. Yahia, El-Sayed M. El-Kenawy, Ali Wagdy Mohamed",-,New Decision-Making Technique Based on Hurwicz Criteria for Fuzzy Ranking,Journal,CMC Journal inPress,Yes,Yes,"Vol 73, Issue 3, Pages 4595-4609",2022,July,2022-23,https://www.techscience.com/cmc/v73n3/490255,https://doi.org/10.32604/cmc.2022.029122,1546-2218 / 1546-2226,,,,,,,,,,,,,,,,
248,Dr G Madhu,"Sukheja Deepaka, Shah Javaid Ahmadb, Madhu, G., Nagini, S., Kiranmayee, B.V. Kautish Sandeepd",No,A real-life decision-making problem with Hendecagonal fuzzy numbers,Journal,JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,Yes,Yes,"vol. 43, no. 6, pp. 7923-7936, 2022",2022,Sebtember,2022-23,https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs212416,,1064-1246 / 1875-8967,,,,,,,,,,,,,,,,
249,Dr G Madhu,"Avinash Sharma G. Madhu, Sandeep Kautish, A. Govardhan, Mathura Prasad Thapliyal",,Emerging Computational Approaches in Telehealth and Telemedicine: A Look at The Post-COVID-19 Landscape,Book,"Advances in Data Science-Driven Technologies (Volume 1), Bentham Science Publishers",Yes,Yes,"Volume 1, Pages 1-174",2022,November,2022-23,https://benthamscience.com/ebook_volume/3425,DOI: 10.3233/JIFS-212416,ISBN (Online): 978-981-5079-27-2,,"Google Scholar, SCOPUS",,,,,,,,,,,,,,
274,"B Venkata Seshu Kumari,",,,Hindi Dependency parsing using combined model of MALT and MST. Pg no-171-178,Conference,"COLING 2012 MTPIL workshop, Mumbai.",,,"14th -15th, Dec, 2012",2012,,40878,,,International,,,,,,,,,,,,,,,,
273,"B Venkata Seshu Kumari,",,,Improving the usability of Statistical Parsers by incorporating linguistic constraints.,Conference,NCRTCST-2013 Hyderabad.,,,"15th -16th, Nov, 2012+E51",2013,,2013-14,,,"National, ISBN- 978-81-923249-0-6",,,,,,,,,,,,,,,,
271,"B Venkata Seshu Kumari,",,,"Combining Malt & MST for Telugu dependency parsing, Pg no:145-149",Conference,National Conference on Advanced Computing and Pattern Recognition-2014(ACPR-14),,,8th-9th January-2014,2014,,2013-14,,,"National, ISBN:9789383038176",,,,,,,,,,,,,,,,
272,"B Venkata Seshu Kumari,",,,Exploring transition-based and graph-based parsers for Telugu Dependency Parsing,Conference,First International Conference on Rough Sets and Knowledge Technologies (ICRSKT-2014),,,"9th -11th Nov, 2014",2014,,2014-15,,,"International, ISBN-9789351072980",,,,,,,,,,,,,,,,
269,"B Venkata Seshu Kumari,",,,Developing Telugu CCG Resources from the Dependency Treebank. pg :212-217,Conference,"Springer-The 2015 Pacific Association for Computational Linguistics(PACLING 2015) 19th-21st May, 2015",,,"19th -21 st May, 2015",2015,May,2015-16,,,"International, ISBN: 978-3-319-29589-3",,,,,,,,,,,,,,,,
270,"B Venkata Seshu Kumari,",,,"Exploring different statistical parsers for parsing Telugu, pg: 41-46",Conference,The 2015 Pacific Association for Computational Linguistics(PACLING 2015),,,"19th-21st May, 2015",2015,January,2014-15,https://www.sciencedirect.com/science/article/pii/S1319157815000798,,International,,,,,,,,,,,,,,,,
252,"B Venkata Seshu Kumari,","B Venkata Seshu Kumari, Ramisetty Rajeshwara Rao",,Improving Telugu dependency parsing using combinatory categorial grammar supertags,Journal,ACM Transactions on Asian and Low-Resource Language Information Processing (TALLIP),,,"Volume 14 Issue 1, Pages 1-10, Publisher ACM",2015,January,2014-15,https://dl.acm.org/doi/abs/10.1145/2693190.2693191,https://doi.org/10.1145/2693190.2693191,ISSN:2375-4699,,,,,,,,,,,,,,,,
251,"B Venkata Seshu Kumari,","R Rajeswara Rao, B Venkata Seshu Kumari",,Two approaches for incorporating linguistic constraints to improve the usability of Telugu dependency parser,Journal,International Journal of Applied Pattern Recognition,,,Volume 3 Issue 2 Pages 135-144 Publisher Inderscience Publishers (IEL),2016,September,2016-17,https://www.inderscienceonline.com/doi/abs/10.1504/IJAPR.2016.079049,https://doi.org/10.1504/IJAPR.2016.079049,,,,,,,,,,,,,,,,,
255,"B Venkata Seshu Kumari,",,,An Improved named entity recognition using tweet topic segmentation and its application,Journal,"International Journal of Advanced Research Trends in Engineering and Technology, Vol. 4, Special Issue 2, January 2017",,,Peer reviewed,2017,January,2017-18,,,2394-3785,,,,,,,,,,,,,,,,
267,"B Venkata Seshu Kumari,",,,An Improved NER using Tweet Topic Segmentation and its Application,Journal,"International Journal of Advanced Research Trends in Engineering and Technology (IJARTET), Vol. 4, Special Issue 2, January 2017",,,Peer reviewed,2017,January,2017-18,,,ISSN 2394-3785 (Online),,,,,,,,,,,,,,,,
266,"B Venkata Seshu Kumari,",,,Keen Crawler: A Novel Two-Stage Crawler,Journal,"International Journal of Advanced Research Trends in Engineering and Technology (IJARTET), Vol. 4, Special Issue 2, January 2017",,,Peer reviewed,2017,January,2017-18,,,ISSN 2394-3785 (Online),,,,,,,,,,,,,,,,
256,"B Venkata Seshu Kumari,",,,Keen Crawler: A Novel Two-Stage Crawler Framework for Searching the Hidden-Web Resources,Journal,"International Journal of Advanced Research Trends in Engineering and Technology (IJARTET) Vol. 4, Special Issue 2, January 2017",,,Peer reviewed,2017,January,2017-18,,,2394-3785,,,,,,,,,,,,,,,,
250,"B Venkata Seshu Kumari,","B Venkata Seshu Kumari, Ramisetty Rajeshwara Rao",,Telugu dependency parsing using different statistical parsers,Journal,Journal of King Saud University-Computer and Information Sciences,,,"Volume 29, Issue 1, Pages 134-140, Publisher Elsevier",2017,January,2016-17,https://www.sciencedirect.com/science/article/pii/S1319157815000798,https://doi.org/10.1016/j.jksuci.2014.12.006,ISSN: 1319-1578,,,,,,,,,,,,,,,,
254,"B Venkata Seshu Kumari,",,,Optimized Task Scheduling for Cloud computing using PSO and GA,Journal,"IJRTE,vol 8,issue 2s4,July 2019",,,Peer reviewed,2019,July,2019-20,,,2277-3878,,,,,,,,,,,,,,,,
253,"B Venkata Seshu Kumari,","Appidi Haritha, Dr B.V.Seshu kumari",Yes,Secure Location and Content Sharing in OSN,Journal,International Journal of Advanced Science and Technology,,,"Vol. 29, No.02, (2020), pp. 2292-2298",2020,July,2020-21,http://sersc.org/journals/index.php/IJAST/article/view/3647/2509,,ISSN: 2005-4238,,,,,,,,,,,,,,,,
275,"B Venkata Seshu Kumari,","Venu Yarlagadda, Annapurna Karthika Garikapati, Lakshminarayana Gadupudi, Rashmi Kapoor, K Veeresham",Yes,Comparative Analysis of STATCOM and SVC on Power System Dynamic Response and Stability Margins with time and frequency responses using Modelling,Conference,2022 International Conference on Smart Technologies and Systems for Next Generation Computing (ICSTSN) Pages 1-8 Publisher IEEE,Yes,Yes,IEEE,2022,March,2021-22,https://ieeexplore.ieee.org/abstract/document/9761306,10.1109/ICSTSN53084.2022.9761306,InternationalElectronic ISBN:978-1-6654-2111-9,,,,,,,,,,,,,,,,
276,"B Venkata Seshu Kumari,","Venu Yarlagadda, G Lakshminarayana, M Nagajyothi, I Neelima",Yes,Frequency Control and small signal stability Improvement with Fuzzy control based Single and two area power systems,Conference,"2022 IEEE Fourth International Conference on Advances in Electronics, Computers and Communications (ICAECC)",-,-,,2022,January,2021-22,,,,,,,,,,,,,,,,,,,
264,"B Venkata Seshu Kumari,",,,3d Point Cloud Data Over X3dom,Journal,"International Journal of Reviews on Recent Electronic and Computer Science, Pg no:1268-1275",,,"Peer reviewed, IF 1.7",,,,,,ISSN 2321-5461,,,,,,Inactive,,,,,,,,,,
260,"B Venkata Seshu Kumari,",,,"A Hybrid Parsing Approach for Telugu Dependency Parsing, Vol. 5, Issue 9, Sept. 2015,pp:664-668",Journal,"International Journal of Advanced Research in Computer Science and Software Engineering (IJARCSSE),",,,"peer reviewed, Impact Factor: 2.5",,,,,,"ISSN: 2277 128X,",,,,,,Inactive,,,,,,,,,,
262,"B Venkata Seshu Kumari,",,,A Method for Developing Wireless Sensor networks for Generalized Packet Arrival.,Journal,International Journal of Reviewes on Recent Electronoics and Computer Science,,,"Peer reviewed, Impact Factor: 1.53",,,,,,ISSN2321-5461,,,,,,Inactive,,,,,,,,,,
263,"B Venkata Seshu Kumari,",,,An Effective Scheme for Managing Data Privacy in Access Control System.,Journal,"International Journal of Reviewes on Recent Electronoics and Computer Science, Pg No:5124-5129",,,"Peer reviewed, Impact Factor: 1.53",,,,,,ISSN 2321-5461,,,,,,Inactive,,,,,,,,,,
268,"B Venkata Seshu Kumari,",,,Exploringdiffernt approaches for parsing telugu,Conference,International conference eon Advanced machine learning technologies and applications,,,17th March 2019,,,2019-20,,,Inter national,,,,,,,,,,,,,,,,
261,"B Venkata Seshu Kumari,",,,IMPROVED Case SECURED ROUTING USING QOS Using S-DSR,Journal,"International Journal of Computer Science information and Engg., Technologies",,,"Peer reviewed, Impact Factor: 3.765",,,,,,ISSN 2277 -4408,,,,,,Inactive,,,,,,,,,,
258,"B Venkata Seshu Kumari,",,,"Improving Indian Language Dependency Parsing by Combining Transition-based and Graph-based parsers, Vol. 115, Issue- No. 5, April 2015,pp. 13-17",Journal,"International Journal of Computer Applications (IJCA),",,,"Peer reviewed, Impact Factor: 3.12",,,,,,ISSN: 0975 – 8887,,,,,,Inactive,,,,,,,,,,
257,"B Venkata Seshu Kumari,",,,Improving the usablility of statistical parsers by incorporating linguistic constraints,Journal,International Journal of Electronics Communication& Computer Engineering,,,"Peer reviewed, Impact Factor-2.7, Pg no: 102-105",,,,,,"1. vol4,Issue(6)",,,,,,Inactive,,,,,,,,,,
259,"B Venkata Seshu Kumari,",,,Introducing a security system for public auditing in public cloud storage Pg no: 602-608,Journal,International Journal for Research on Electronics and Computer Science,,,"Peer reviewed, Impact Factor: 1.925",,,,,,". Vol 1,issue2 ,May-2014 .",,,,,,Inactive,,,,,,,,,,
265,"B Venkata Seshu Kumari,",,,Optimum Client –Server Appointment for Cyber world Disseminated Systems,Journal,"International Journal Research on Electronics and Computer Science, Pg no:-1091",,,"Peer reviewed, PF-1.7",,,,,,ISSN-2321-5784,,,,,,Inactive,,,,,,,,,,
277,Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Narsimha Gugulothu, Mangathayaru Nimmala",,An Evolutionary Feature Clustering Approach for Anomaly Detection Using Improved Fuzzy Membership Function: Feature Clustering Approach for Anomaly Detection,Journal,International Journal of Information Technology and Web Engineering (IJITWE),Yes,Yes,Volume 14 Issue 4,2019,October,2019-20,https://www.igi-global.com/article/an-evolutionary-feature-clustering-approach-for-anomaly-detection-using-improved-fuzzy-membership-function/234749,DOI: 10.4018/IJITWE.2019100102,ISSN: 1554-1045,,,,,,,,GRK-JPUB-001,,,,,,,,
278,Gunupudi Rajesh Kumar,"G Rajesh Kumar, N Mangathayaru, G Narasimha",,Similarity function for intrusion detection,Conference,ICEMIS'19: The 5th International Conference on Engineering & MIS 2019 Astana Kazakhstan,Yes,Yes,"Article No.: 28 Pages 1–4,",2019,June,2019-20,https://dl.acm.org/doi/abs/10.1145/3330431.3330460,https://doi.org/10.1145/3330431.3330460,ISBN: 978-1-4503-7212-1,,,,,,,,GRK-CPUB-002,,,,,,,,
279,Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha, Aravind Cheruvu",,Feature clustering for anomaly detection using improved fuzzy membership function,Conference,ICEMIS '18: International Conference on Engineering & MIS 2018 Istanbul Turkey,Yes,Yes,"Article No.: 35, Pages 1–9, Publisher: Association for Computing Machinery, New York, United States",2018,June,2017-18,https://dl.acm.org/doi/abs/10.1145/3234698.3234733,https://doi.org/10.1145/3234698.3234733,ISBN: 978-1-4503-7212-1,,,,,,,,GRK-CPUB-003,,,,,,,,
280,Gunupudi Rajesh Kumar,"Rajesh Kumar Gunupudi, Mangathayaru Nimmala, Narsimha Gugulothu, Suresh Reddy Gali",,CLAPP: A self constructing feature clustering approach for anomaly detection,Journal,Future Generation Computer Systems,Yes,Yes,"Volume 74, Pages 417-429, Publisher Elsevier, North-Holland",2017,September,2017-18,https://www.sciencedirect.com/science/article/abs/pii/S0167739X16308718,https://doi.org/10.1016/j.future.2016.12.040,ISSN 0167-739X,,61,,,,,,GRK-JPUB-004,,,,,,,,
281,Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha, Gali Suresh Reddy",,Evolutionary approach for intrusion detection,Conference,2017 International Conference on Engineering & MIS (ICEMIS),Yes,Yes,"2017 International Conference on Engineering & MIS (ICEMIS), Monastir, Tunisia, Publisher IEEE",2017,May,2016-17,https://ieeexplore.ieee.org/abstract/document/8273116,DOI: 10.1109/ICEMIS.2017.8273116,ISSN: 2575-1328,,,,,,,,GRK-CPUB-005,,,,,,,,
282,Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha",,A FEATURE CLUSTERING BASED DIMENSIONALITY REDUCTION FOR INTRUSION DETECTION (FCBDR).,Journal,IADIS International Journal on Computer Science & Information Systems,Yes,Yes,"Volume 12, Issue 1, Pages 26-44",2017,January,2016-17,http://oaji.net/articles/2019/3083-1576243681.pdf,,ISSN: 1646-3692,,,,,,,,GRK-JPUB-006,,,,,,,,
283,Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha",,Design of novel fuzzy distribution function for dimensionality reduction and intrusion detection,Conference,2016 International Conference on Engineering & MIS (ICEMIS),Yes,Yes,"Pages 1-6, Publisher IEEE",2016,September,2016-17,https://ieeexplore.ieee.org/abstract/document/7745346,DOI: 10.1109/ICEMIS.2016.7745346,ISBN:978-1-5090-5580-7,,,,,,,,GRK-CPUB-007,,,,,,,,
